code,locale,name,descr
677,en,name-21902371,descr-21902371
066,sv,name-13650582,descr-13650582
066,pt,name-13650583,descr-13650583
067,fi,name-13132461,descr-13132461
067,pl,name-13132462,descr-13132462
068,th,name-9228052,descr-9228052
068,cs,name-9228053,descr-9228053
069,it,name-28719625,descr-28719625
069,en,name-28719626,descr-28719626
070,fr,name-2853339,descr-2853339
070,ko,name-2853340,descr-2853340
071,zh,name-6661624,descr-6661624
071,ar,name-6661625,descr-6661625
072,ro,name-12408256,descr-12408256
072,ru,name-12408257,descr-12408257
073,en,name-17832322,descr-17832322
073,sv,name-17832323,descr-17832323
074,cs,name-12363925,descr-12363925
074,ja,name-12363926,descr-12363926
