book_ID,ID,number,createdAt,createdBy,modifiedAt,modifiedBy
2637376d-0de9-439f-83b1-85e2b178f132,23137384-712c-48c9-a5c3-9fa2c2206364,54,2001-02-05T00:00:00.000Z,createdBy.drwx4@example.org,2015-06-17T00:00:00.000Z,modifiedBy.drwx4@example.net
2637376d-0de9-439f-83b1-85e2b178f132,23137385-bd66-440f-81a9-3d8cf3fb12f7,79,2021-12-16T00:00:00.000Z,createdBy.drwx5@example.com,2001-11-06T00:00:00.000Z,modifiedBy.drwx5@example.net
26373774-dbc8-48ed-9d17-91cee6bf4406,81057118-b187-466a-b4c2-777795bcebdd,25,2016-04-01T00:00:00.000Z,createdBy.4tqen@example.net,2006-04-12T00:00:00.000Z,modifiedBy.4tqen@example.org
26373774-dbc8-48ed-9d17-91cee6bf4406,81057128-9d41-4d75-8e09-89705a4601c4,32,2014-08-11T00:00:00.000Z,createdBy.4tqeo@example.com,2001-05-26T00:00:00.000Z,modifiedBy.4tqeo@example.net
26373788-0525-41f3-8874-33e1a6a7289f,93855028-5804-4810-bc20-864a5d0d5d3b,25,2005-02-14T00:00:00.000Z,createdBy.5l5we@example.net,2021-10-30T00:00:00.000Z,modifiedBy.5l5we@example.net
26373788-0525-41f3-8874-33e1a6a7289f,9385503d-a87c-4219-85a3-8f69cb67d5ee,4,2007-01-20T00:00:00.000Z,createdBy.5l5wf@example.net,2022-06-17T00:00:00.000Z,modifiedBy.5l5wf@example.com
26373799-178c-49a3-8217-1ca5029ffb86,14595179-23d0-45e7-af84-596e406e9767,9,2008-01-19T00:00:00.000Z,createdBy.8otpn@example.net,2005-12-30T00:00:00.000Z,modifiedBy.8otpn@example.net
26373799-178c-49a3-8217-1ca5029ffb86,14595180-2cde-469d-8a7d-0b8925dedec8,17,2014-07-20T00:00:00.000Z,createdBy.8otpo@example.org,2020-06-20T00:00:00.000Z,modifiedBy.8otpo@example.com
2637380a-c4cd-44c1-8d27-9ef90c790ce3,7144376f-6118-4cd0-9146-9038cbeee8a5,65,2014-08-25T00:00:00.000Z,createdBy.494mw@example.net,2009-01-29T00:00:00.000Z,modifiedBy.494mw@example.com
2637380a-c4cd-44c1-8d27-9ef90c790ce3,7144377a-9968-44e2-b5ac-189b1ef2fcfc,52,2010-01-16T00:00:00.000Z,createdBy.494mx@example.net,2001-07-16T00:00:00.000Z,modifiedBy.494mx@example.net
2637381a-46be-4c5d-83f0-229ab802d7fe,14379655-6e95-4c0a-8971-7f4f2b9dfbd0,65,2018-06-04T00:00:00.000Z,createdBy.8k7ev@example.org,2012-05-26T00:00:00.000Z,modifiedBy.8k7ev@example.com
2637381a-46be-4c5d-83f0-229ab802d7fe,14379656-379a-4108-b1b2-1fdc5f26b4cb,37,2006-10-27T00:00:00.000Z,createdBy.8k7ew@example.net,2023-09-08T00:00:00.000Z,modifiedBy.8k7ew@example.org
26373823-1b37-4ed5-a292-fea4dfbb8543,24179310-b62b-42ab-b278-87d2f6be0ff4,32,2019-10-26T00:00:00.000Z,createdBy.ee8vi@example.com,2017-08-03T00:00:00.000Z,modifiedBy.ee8vi@example.org
26373823-1b37-4ed5-a292-fea4dfbb8543,24179311-0ed7-4924-9e7b-cfcea21e0f0e,70,2012-01-01T00:00:00.000Z,createdBy.ee8vj@example.org,2006-11-24T00:00:00.000Z,modifiedBy.ee8vj@example.org
2637383d-055c-4b53-b697-05788b29f8d1,2621366c-24fe-47ed-a83d-e8778371589d,52,2018-04-27T00:00:00.000Z,createdBy.5m9k@example.net,2016-04-16T00:00:00.000Z,modifiedBy.5m9k@example.com
2637383d-055c-4b53-b697-05788b29f8d1,26213785-adaa-43b9-a781-633c29a8d60f,82,2006-07-03T00:00:00.000Z,createdBy.5m9l@example.net,2018-02-10T00:00:00.000Z,modifiedBy.5m9l@example.com
26373842-5afe-4067-a64f-3f6667c2a65b,27855956-08ab-491e-b82f-db5f1db0ac9f,10,2008-12-10T00:00:00.000Z,createdBy.gl1sk@example.com,2002-08-30T00:00:00.000Z,modifiedBy.gl1sk@example.org
26373842-5afe-4067-a64f-3f6667c2a65b,27855957-653e-476f-8127-0aa750fe41d6,33,2012-07-01T00:00:00.000Z,createdBy.gl1sl@example.com,2009-12-26T00:00:00.000Z,modifiedBy.gl1sl@example.org
2637385e-a69b-4bad-93f2-3cff97196780,17189533-8a91-49de-bad1-e9fa86e1d26f,26,2021-09-02T00:00:00.000Z,createdBy.a8fj1@example.com,2002-07-19T00:00:00.000Z,modifiedBy.a8fj1@example.com
2637385e-a69b-4bad-93f2-3cff97196780,17189534-713e-4129-a3b3-176063f62e72,58,2019-05-15T00:00:00.000Z,createdBy.a8fj2@example.net,2009-06-09T00:00:00.000Z,modifiedBy.a8fj2@example.com
